row_index,name,hometown,school,team,error,note,url
0,,"Sunset Beach, Calif.",UCLA,,missing_or_bad_name,,
1,,"Huntington Beach, Calif.",UCLA,,missing_or_bad_name,,
2,,"Danville, Calif.",UCLA,,missing_or_bad_name,,
3,,"Sacramento, Calif.",UCLA,,missing_or_bad_name,,
4,,"Rio de Janeiro, Brazil",UCLA,,missing_or_bad_name,,
5,,"Newport Beach, Calif.",UCLA,,missing_or_bad_name,,
6,,"Budapest, Hungary",UCLA,,missing_or_bad_name,,
7,,"Long Beach, Calif.",UCLA,,missing_or_bad_name,,
8,,"Lafayette, Calif.",UCLA,,missing_or_bad_name,,
9,,"Los Angeles, Calif.",UCLA,,missing_or_bad_name,,
10,,"Costa Mesa, Calif.",UCLA,,missing_or_bad_name,,
11,,"Long Beach, Calif.",UCLA,,missing_or_bad_name,,
12,,"Tiburon, Calif.",UCLA,,missing_or_bad_name,,
13,,"North Tustin, Calif.",UCLA,,missing_or_bad_name,,
14,,"San Juan Capistrano, Calif.",UCLA,,missing_or_bad_name,,
15,,"Newport Beach, Calif.",UCLA,,missing_or_bad_name,,
16,,"Newport Beach, Calif.",UCLA,,missing_or_bad_name,,
17,,"Long Beach, Calif.",UCLA,,missing_or_bad_name,,
18,,"Perth, Australia",UCLA,,missing_or_bad_name,,
19,,"Los Altos, Calif.",UCLA,,missing_or_bad_name,,
20,,"Agoura Hills, Calif.",UCLA,,missing_or_bad_name,,
21,,"Lafayette, Calif.",UCLA,,missing_or_bad_name,,
22,,"Laguna Beach, Calif.",UCLA,,missing_or_bad_name,,
23,,"Davis, Calif.",UCLA,,missing_or_bad_name,,
24,,"Long Beach, Calif.",UCLA,,missing_or_bad_name,,
25,,"Huntington Beach, Calif.",UCLA,,missing_or_bad_name,,
26,,"Sunset Beach, Calif.",UCLA,,missing_or_bad_name,,
27,,"Huntington Beach, Calif.",UCLA,,missing_or_bad_name,,
28,,"Danville, Calif.",UCLA,,missing_or_bad_name,,
29,,"Sacramento, Calif.",UCLA,,missing_or_bad_name,,
30,,"Rio de Janeiro, Brazil",UCLA,,missing_or_bad_name,,
31,,"Newport Beach, Calif.",UCLA,,missing_or_bad_name,,
32,,"Budapest, Hungary",UCLA,,missing_or_bad_name,,
33,,"Long Beach, Calif.",UCLA,,missing_or_bad_name,,
34,,"Lafayette, Calif.",UCLA,,missing_or_bad_name,,
